Country,GDP 2018,Crime Index,Population 2020,Smoking 2016,Females 2018
Albania,15102500898,40.02,2877.797,28.7,49.0630946
Algeria,1.74E+11,54.41,43851.044,15.6,49.48426788
Argentina,5.20E+11,62.96,45195.774,21.8,51.23734845
Armenia,12433089919,20.78,2963.243,24.1,52.95657715
Australia,1.43E+12,42.7,25499.884,14.7,50.19962324
Austria,4.55E+11,23.23,9006.398,29.6,50.82942665
Azerbaijan,46939529412,32.68,10139.177,20.8,50.1157491
Bahrain,37746196809,29.18,1701.575,26.4,36.34825161
Bangladesh,2.74E+11,64.98,164689.383,23,49.38729667
Belarus,59662495092,24.8,9449.323,26.7,53.45605422
Belgium,5.43E+11,42.5,11589.623,28.2,50.59331939
Bosnia and Herzegovina,20161865419,43.57,3280.819,38.9,51.01053603
Brazil,1.87E+12,69.48,212559.417,13.9,50.82991676
Bulgaria,65132951116,39.31,6948.445,37,51.41408841
Cambodia,24542474061,51.8,16718.965,17.2,51.19798127
Canada,1.71E+12,39.48,37742.154,14.3,50.39152995
Chile,2.98E+11,47.12,19116.201,37.8,50.72703184
China,1.36E+13,36.7,1439323.776,25.6,48.67937396
Colombia,3.31E+11,52.54,50882.891,9,50.9257717
Costa Rica,60130106116,55.77,5094.118,11.9,50.0098511
Croatia,60971699315,24.23,4105.267,37,51.85262175
Cuba,1.00E+11,27.62,11326.616,35.2,50.33284983
Cyprus,24961988663,29.62,1207.359,36.4,49.9710745
Czech Republic,2.45E+11,25.99,10708.981,34.3,50.80858893
Denmark,3.56E+11,24.72,5792.202,19.1,50.27420273
Dominican Republic,85555390387,60.62,10847.91,13.7,50.00779607
Ecuador,1.08E+11,48.91,17643.054,7.1,49.97062518
Estonia,30732144529,22.17,1326.535,31.3,52.85842682
Ethiopia,84355604753,47.46,114963.588,4.4,49.97888842
Finland,2.77E+11,22.75,5540.72,20.4,50.72075849
France,2.78E+12,46.45,65273.511,32.7,51.58424048
Georgia,17599660629,20.18,3989.167,28.8,52.2912375
Georgia,17599660629,20.18,3989.167,28.8,52.2912375
Germany,3.95E+12,34.6,83783.942,30.6,50.66036737
Ghana,65556464048,51.57,31072.94,3.9,49.3258297
Greece,2.18E+11,39.29,10423.054,43.4,50.91620191
Honduras,23969890431,75.84,9904.607,2,50.04934017
Hungary,1.58E+11,35.41,9660.351,30.6,52.43242803
Iceland,25878475760,23.15,341.243,14.7,49.81170852
India,2.72E+12,42.38,1380004.385,11.5,48.02353964
Indonesia,1.04E+12,46.26,273523.615,39.4,49.64388219
Ireland,3.82E+11,46.18,4937.786,24.3,50.42550948
Israel,3.71E+11,30.71,8655.535,25.2,50.29812658
Italy,2.08E+12,44.35,60461.826,23.7,51.37666963
Jamaica,15713908816,65.26,2961.167,16.8,50.33982963
Japan,4.97E+12,15.91,126476.461,22.1,51.15925913
Kazakhstan,1.79E+11,64.23,18776.707,24,51.51148365
Kenya,87908262520,62.38,53771.296,10.7,50.31602039
South Korea,1.62E+12,29.24,51269.185,23.3,49.91688179
Kuwait,1.41E+11,35.61,4270.571,22.5,39.54817062
Latvia,34409229178,36.6,1886.198,37,54.01016666
Lebanon,56639155556,43.38,6825.445,33.8,49.70580552
Lithuania,53429066429,34.82,2722.289,28.8,53.79195865
Luxembourg,70885325883,30.17,625.978,23.5,49.53925897
Malaysia,3.59E+11,60.66,32365.999,21.5,48.57852058
Maldives,5327457150,53.83,540.544,28.3,37.26498146
Malta,14553422929,37.73,441.543,25.5,49.87330822
Mauritius,14220348673,47.34,1271.768,21.6,50.5771064
Mexico,1.22E+12,52.51,128932.753,14,51.08928083
Moldova,11443671436,45.7,4033.963,24.2,52.03556312
Mongolia,13066749138,57.76,3278.29,25.6,50.66954471
Montenegro,5504166667,39.67,628.066,45.9,50.55901294
Morocco,1.18E+11,49.53,36910.56,23.4,50.40384729
Namibia,14521711634,68.14,2540.905,21.4,51.55369032
Nepal,29040398982,35.7,29136.808,22.8,54.53534333
Netherlands,9.14E+11,28.54,17134.872,25.8,50.22094356
New Zealand,2.05E+11,40.89,4822.233,16,50.8377694
Nigeria,3.97E+11,64.64,206139.589,5.8,49.33611355
Norway,4.34E+11,33.51,5421.241,20.2,49.52463113
Oman,79276723017,21.55,5106.626,11.1,34.01408352
Pakistan,3.15E+11,44.58,220892.34,20.1,48.53807472
Panama,65055100000,45.47,4314.767,6.1,49.90538365
Peru,2.22E+11,64.58,32971.854,4.8,50.33775549
Philippines,3.31E+11,41.09,109581.078,24.3,49.74165739
Poland,5.86E+11,29.67,37846.611,28,51.53070738
Portugal,2.41E+11,30.11,10196.709,22.7,52.71196171
Qatar,1.91E+11,12,2881.053,20.6,24.49528738
Romania,2.40E+11,27.84,19237.691,29.7,51.34374306
Saudi Arabia,7.87E+11,28.22,34813.871,15.6,42.44584798
Serbia,50597289147,37.63,8737.371,38.9,51.00252296
Singapore,3.64E+11,27.7,5850.342,16.5,47.65812541
Slovenia,54007972106,22.01,2078.938,22.5,50.24520703
South Africa,3.68E+11,77.02,59308.69,20.3,50.69415038
Spain,1.42E+12,31.07,46754.778,29.3,50.89664131
Sri Lanka,88900770858,40.15,21413.249,13,51.96681766
Sweden,5.56E+11,47.21,10099.265,18.8,49.94577617
Switzerland,7.05E+11,21.18,8654.622,25.7,50.42712466
Tanzania,58001200572,59.83,59734.218,14.8,50.05101091
Thailand,5.05E+11,41.29,69799.978,19.9,51.26870461
Tunisia,39871132268,40.64,11818.619,32.7,50.43715186
Turkey,7.71E+11,39.86,84339.067,27.2,50.6778132
United States,2.05E+13,46.73,331002.651,21.8,50.52001465
Ukraine,1.31E+11,49.04,43733.762,28.9,53.6877507
United Arab Emirates,4.14E+11,15.52,9890.402,28.9,30.63668795
United Kingdom,2.86E+12,43.64,67886.011,22.3,50.63527456
Uruguay,59596885024,52.33,3473.73,16.8,51.72154269
Vietnam,2.45E+11,48.22,97338.579,22.8,50.09640962